name,a1_mb,a2_mb,a3_uv,a1_ec,a2_ec,a3_ec,mb_einfach,mb_menschlich,mb_verstaendlich,mb_uebersichtlich,mb_innovativ,mb_kreativ,mb_schoen,mb_froehlich,uv_einfach,uv_menschlich,uv_verstaendlich,uv_uebersichtlich,uv_innovativ,uv_kreativ,uv_schoen,uv_froehlich,ec_einfach,ec_menschlich,ec_verstaendlich,ec_uebersichtlich,ec_innovativ,ec_kreativ,ec_schoen,ec_froehlich
JB,122,177,47,17,29,32,4,4,5,3,5,6,7,4,7,6,7,7,5,5,6,7,1,3,2,2,5,3,3,4
PH,97,133,20,25,19,48,2,4,5,1,4,5,7,4,7,6,7,7,6,7,6,7,3,3,1,2,5,2,4,1
