name;a1_mb;a2_mb;a3_uv;a1_ec;a2_ec;a3_ec;mb_einfach;mb_menschlich;mb_verstaendlich;mb_uebersichtlich;mb_innovativ;mb_kreativ;mb_schoen;mb_froehlich;uv_einfach;uv_menschlich;uv_verstaendlich;uv_uebersichtlich;uv_innovativ;uv_kreativ;uv_schoen;uv_froehlich;ec_einfach;ec_menschlich;ec_verstaendlich;ec_uebersichtlich;ec_innovativ;ec_kreativ;ec_schoen;ec_froehlich
RL;80,3;133,8;65,3;30,6;29,7;27,6;2;2;1;7;7;6;7;6;2;2;1;6;4;5;4;4;1;2;1;2;3;4;3;3
JM;80;80,4;42,3;25,9;80,5;14,4;5;4;5;6;4;5;6;6;2;4;2;4;4;6;4;4;3;4;3;3;4;4;4;4
MS;98,3;13,4;28,5;16,9;110,7;13,5;5;4;3;6;6;7;5;4;6;5;5;7;5;4;6;5;3;3;2;1;2;2;2;2
JF;91,7;11,5;84;16,8;31,6;33,3;3;6;3;4;5;5;4;6;1;3;2;2;2;3;2;2;1;2;2;1;1;2;2;2
NM;90;89;148;10;51;19;5;4;3;6;6;6;6;5;7;4;5;7;4;6;6;5;3;3;2;3;4;4;2;4
DK;5;8;32;10;15;16;2;6;3;6;7;7;5;4;7;7;7;7;6;6;6;6;2;3;2;2;3;2;3;3
JB;122;177;47;17;29;32;4;4;5;3;5;6;7;4;7;6;7;7;5;5;6;7;1;3;2;2;5;3;3;4
PH;97;133;20;25;19;48;2;4;5;1;4;5;7;4;7;6;7;7;6;7;6;7;3;3;1;2;5;2;4;1
